hs_code,year,flow
293628,2010,m
293628,2010,x
293629,2010,m
293629,2010,x
293690,2010,m
293690,2010,x
293711,2010,m
293711,2010,x
293712,2010,m
293712,2010,x
293719,2010,m
293719,2010,x
293721,2010,m
293721,2010,x
293722,2010,m
293722,2010,x
293723,2010,m
293723,2010,x
293729,2010,m
293729,2010,x
293750,2010,m
293750,2010,x
293790,2010,m
293790,2010,x
293810,2010,m
293810,2010,x
293890,2010,m
293890,2010,x
293911,2010,m
293911,2010,x
293919,2010,m
293919,2010,x
293920,2010,m
293920,2010,x
293930,2010,m
293930,2010,x
293941,2010,m
293941,2010,x
293942,2010,m
293942,2010,x
293943,2010,m
293943,2010,x
293944,2010,m
293944,2010,x
293949,2010,m
293949,2010,x
293951,2010,m
293951,2010,x
293959,2010,m
293959,2010,x
293961,2010,m
293961,2010,x
293962,2010,m
293962,2010,x
293963,2010,m
293963,2010,x
293969,2010,m
293969,2010,x
293991,2010,m
293991,2010,x
293999,2010,m
293999,2010,x
294000,2010,m
294000,2010,x
294110,2010,m
294110,2010,x
294120,2010,m
294120,2010,x
294130,2010,m
294130,2010,x
