hs_code,year,flow
470311,2010,m
470311,2010,x
470319,2010,m
470319,2010,x
470321,2010,m
470321,2010,x
470329,2010,m
470329,2010,x
470411,2010,m
470411,2010,x
470419,2010,m
470419,2010,x
470421,2010,m
470421,2010,x
470429,2010,m
470429,2010,x
470500,2010,m
470500,2010,x
470610,2010,m
470610,2010,x
470620,2010,m
470620,2010,x
470630,2010,m
470630,2010,x
470691,2010,m
470691,2010,x
470692,2010,m
470692,2010,x
470693,2010,m
470693,2010,x
470710,2010,m
470710,2010,x
470720,2010,m
470720,2010,x
470730,2010,m
470730,2010,x
470790,2010,m
470790,2010,x
480100,2010,m
480100,2010,x
480210,2010,m
480210,2010,x
480220,2010,m
480220,2010,x
480240,2010,m
480240,2010,x
480254,2010,m
480254,2010,x
480255,2010,m
480255,2010,x
480256,2010,m
480256,2010,x
480257,2010,m
480257,2010,x
480258,2010,m
480258,2010,x
480261,2010,m
480261,2010,x
480262,2010,m
480262,2010,x
480269,2010,m
480269,2010,x
480300,2010,m
480300,2010,x
480411,2010,m
480411,2010,x
480419,2010,m
480419,2010,x
480421,2010,m
480421,2010,x
