hs_code,year,flow
551611,2010,m
551611,2010,x
551612,2010,m
551612,2010,x
551613,2010,m
551613,2010,x
551614,2010,m
551614,2010,x
551621,2010,m
551621,2010,x
551622,2010,m
551622,2010,x
551623,2010,m
551623,2010,x
551624,2010,m
551624,2010,x
551631,2010,m
551631,2010,x
551632,2010,m
551632,2010,x
551633,2010,m
551633,2010,x
551634,2010,m
551634,2010,x
551641,2010,m
551641,2010,x
551642,2010,m
551642,2010,x
551643,2010,m
551643,2010,x
551644,2010,m
551644,2010,x
551691,2010,m
551691,2010,x
551692,2010,m
551692,2010,x
551693,2010,m
551693,2010,x
551694,2010,m
551694,2010,x
560121,2010,m
560121,2010,x
560122,2010,m
560122,2010,x
560129,2010,m
560129,2010,x
560130,2010,m
560130,2010,x
560210,2010,m
560210,2010,x
560221,2010,m
560221,2010,x
560229,2010,m
560229,2010,x
560290,2010,m
560290,2010,x
560311,2010,m
560311,2010,x
560312,2010,m
560312,2010,x
560313,2010,m
560313,2010,x
560314,2010,m
560314,2010,x
560391,2010,m
560391,2010,x
560392,2010,m
560392,2010,x
560393,2010,m
560393,2010,x
