hs_code,year,flow
621430,2010,m
621430,2010,x
621440,2010,m
621440,2010,x
621490,2010,m
621490,2010,x
621510,2010,m
621510,2010,x
621520,2010,m
621520,2010,x
621590,2010,m
621590,2010,x
621600,2010,m
621600,2010,x
621710,2010,m
621710,2010,x
621790,2010,m
621790,2010,x
630110,2010,m
630110,2010,x
630120,2010,m
630120,2010,x
630130,2010,m
630130,2010,x
630140,2010,m
630140,2010,x
630190,2010,m
630190,2010,x
630210,2010,m
630210,2010,x
630221,2010,m
630221,2010,x
630222,2010,m
630222,2010,x
630229,2010,m
630229,2010,x
630231,2010,m
630231,2010,x
630232,2010,m
630232,2010,x
630239,2010,m
630239,2010,x
630240,2010,m
630240,2010,x
630251,2010,m
630251,2010,x
630253,2010,m
630253,2010,x
630259,2010,m
630259,2010,x
630260,2010,m
630260,2010,x
630291,2010,m
630291,2010,x
630293,2010,m
630293,2010,x
630299,2010,m
630299,2010,x
630312,2010,m
630312,2010,x
630319,2010,m
630319,2010,x
630391,2010,m
630391,2010,x
630392,2010,m
630392,2010,x
630399,2010,m
630399,2010,x
630411,2010,m
630411,2010,x
