hs_code,year,flow
400211,2010,m
400211,2010,x
400219,2010,m
400219,2010,x
400220,2010,m
400220,2010,x
400231,2010,m
400231,2010,x
400239,2010,m
400239,2010,x
400241,2010,m
400241,2010,x
400249,2010,m
400249,2010,x
400251,2010,m
400251,2010,x
400259,2010,m
400259,2010,x
400260,2010,m
400260,2010,x
400270,2010,m
400270,2010,x
400280,2010,m
400280,2010,x
400291,2010,m
400291,2010,x
400299,2010,m
400299,2010,x
400300,2010,m
400300,2010,x
400400,2010,m
400400,2010,x
400510,2010,m
400510,2010,x
400520,2010,m
400520,2010,x
400591,2010,m
400591,2010,x
400599,2010,m
400599,2010,x
400610,2010,m
400610,2010,x
400690,2010,m
400690,2010,x
400700,2010,m
400700,2010,x
400811,2010,m
400811,2010,x
400819,2010,m
400819,2010,x
400821,2010,m
400821,2010,x
400829,2010,m
400829,2010,x
400911,2010,m
400911,2010,x
400912,2010,m
400912,2010,x
400921,2010,m
400921,2010,x
400922,2010,m
400922,2010,x
400931,2010,m
400931,2010,x
400932,2010,m
400932,2010,x
400941,2010,m
400941,2010,x
400942,2010,m
400942,2010,x
