hs_code,year,flow
731100,2010,m
731100,2010,x
731210,2010,m
731210,2010,x
731290,2010,m
731290,2010,x
731300,2010,m
731300,2010,x
731412,2010,m
731412,2010,x
731414,2010,m
731414,2010,x
731419,2010,m
731419,2010,x
731420,2010,m
731420,2010,x
731431,2010,m
731431,2010,x
731439,2010,m
731439,2010,x
731441,2010,m
731441,2010,x
731442,2010,m
731442,2010,x
731449,2010,m
731449,2010,x
731450,2010,m
731450,2010,x
731511,2010,m
731511,2010,x
731512,2010,m
731512,2010,x
731519,2010,m
731519,2010,x
731520,2010,m
731520,2010,x
731581,2010,m
731581,2010,x
731582,2010,m
731582,2010,x
731589,2010,m
731589,2010,x
731590,2010,m
731590,2010,x
731600,2010,m
731600,2010,x
731700,2010,m
731700,2010,x
731811,2010,m
731811,2010,x
731812,2010,m
731812,2010,x
731813,2010,m
731813,2010,x
731814,2010,m
731814,2010,x
731815,2010,m
731815,2010,x
731816,2010,m
731816,2010,x
731819,2010,m
731819,2010,x
731821,2010,m
731821,2010,x
731822,2010,m
731822,2010,x
731823,2010,m
731823,2010,x
731824,2010,m
731824,2010,x
