hs_code,year,flow
820190,2010,m
820190,2010,x
820210,2010,m
820210,2010,x
820220,2010,m
820220,2010,x
820231,2010,m
820231,2010,x
820239,2010,m
820239,2010,x
820240,2010,m
820240,2010,x
820291,2010,m
820291,2010,x
820299,2010,m
820299,2010,x
820310,2010,m
820310,2010,x
820320,2010,m
820320,2010,x
820330,2010,m
820330,2010,x
820340,2010,m
820340,2010,x
820411,2010,m
820411,2010,x
820412,2010,m
820412,2010,x
820420,2010,m
820420,2010,x
820510,2010,m
820510,2010,x
820520,2010,m
820520,2010,x
820530,2010,m
820530,2010,x
820540,2010,m
820540,2010,x
820551,2010,m
820551,2010,x
820559,2010,m
820559,2010,x
820560,2010,m
820560,2010,x
820570,2010,m
820570,2010,x
820590,2010,m
820590,2010,x
820600,2010,m
820600,2010,x
820713,2010,m
820713,2010,x
820719,2010,m
820719,2010,x
820720,2010,m
820720,2010,x
820730,2010,m
820730,2010,x
820740,2010,m
820740,2010,x
820750,2010,m
820750,2010,x
820760,2010,m
820760,2010,x
820770,2010,m
820770,2010,x
820780,2010,m
820780,2010,x
820790,2010,m
820790,2010,x
