hs_code,year,flow
843050,2010,m
843050,2010,x
843061,2010,m
843061,2010,x
843069,2010,m
843069,2010,x
843110,2010,m
843110,2010,x
843120,2010,m
843120,2010,x
843131,2010,m
843131,2010,x
843139,2010,m
843139,2010,x
843141,2010,m
843141,2010,x
843142,2010,m
843142,2010,x
843143,2010,m
843143,2010,x
843149,2010,m
843149,2010,x
843210,2010,m
843210,2010,x
843221,2010,m
843221,2010,x
843229,2010,m
843229,2010,x
843230,2010,m
843230,2010,x
843240,2010,m
843240,2010,x
843280,2010,m
843280,2010,x
843290,2010,m
843290,2010,x
843311,2010,m
843311,2010,x
843319,2010,m
843319,2010,x
843320,2010,m
843320,2010,x
843330,2010,m
843330,2010,x
843340,2010,m
843340,2010,x
843351,2010,m
843351,2010,x
843352,2010,m
843352,2010,x
843353,2010,m
843353,2010,x
843359,2010,m
843359,2010,x
843360,2010,m
843360,2010,x
843390,2010,m
843390,2010,x
843410,2010,m
843410,2010,x
843420,2010,m
843420,2010,x
843490,2010,m
843490,2010,x
843510,2010,m
843510,2010,x
843590,2010,m
843590,2010,x
843610,2010,m
843610,2010,x
