hs_code,year,flow
401519,2010,m
401519,2010,x
401590,2010,m
401590,2010,x
401610,2010,m
401610,2010,x
401691,2010,m
401691,2010,x
401692,2010,m
401692,2010,x
401693,2010,m
401693,2010,x
401694,2010,m
401694,2010,x
401695,2010,m
401695,2010,x
401699,2010,m
401699,2010,x
401700,2010,m
401700,2010,x
410120,2010,m
410120,2010,x
410150,2010,m
410150,2010,x
410190,2010,m
410190,2010,x
410210,2010,m
410210,2010,x
410221,2010,m
410221,2010,x
410229,2010,m
410229,2010,x
410320,2010,m
410320,2010,x
410330,2010,m
410330,2010,x
410390,2010,m
410390,2010,x
410411,2010,m
410411,2010,x
410419,2010,m
410419,2010,x
410441,2010,m
410441,2010,x
410449,2010,m
410449,2010,x
410510,2010,m
410510,2010,x
410530,2010,m
410530,2010,x
410621,2010,m
410621,2010,x
410622,2010,m
410622,2010,x
410631,2010,m
410631,2010,x
410632,2010,m
410632,2010,x
410640,2010,m
410640,2010,x
410691,2010,m
410691,2010,x
410692,2010,m
410692,2010,x
410711,2010,m
410711,2010,x
410712,2010,m
410712,2010,x
410719,2010,m
410719,2010,x
