hs_code,year,flow
210310,2010,m
210310,2010,x
210320,2010,m
210320,2010,x
210330,2010,m
210330,2010,x
210390,2010,m
210390,2010,x
210410,2010,m
210410,2010,x
210420,2010,m
210420,2010,x
210500,2010,m
210500,2010,x
210610,2010,m
210610,2010,x
210690,2010,m
210690,2010,x
220110,2010,m
220110,2010,x
220190,2010,m
220190,2010,x
220210,2010,m
220210,2010,x
220290,2010,m
220290,2010,x
220300,2010,m
220300,2010,x
220410,2010,m
220410,2010,x
220421,2010,m
220421,2010,x
220429,2010,m
220429,2010,x
220430,2010,m
220430,2010,x
220510,2010,m
220510,2010,x
220590,2010,m
220590,2010,x
220600,2010,m
220600,2010,x
220710,2010,m
220710,2010,x
220720,2010,m
220720,2010,x
220820,2010,m
220820,2010,x
220830,2010,m
220830,2010,x
220840,2010,m
220840,2010,x
220850,2010,m
220850,2010,x
220860,2010,m
220860,2010,x
220870,2010,m
220870,2010,x
220890,2010,m
220890,2010,x
220900,2010,m
220900,2010,x
230110,2010,m
230110,2010,x
230120,2010,m
230120,2010,x
230210,2010,m
230210,2010,x
230230,2010,m
230230,2010,x
