hs_code,year,flow
071233,2010,m
071233,2010,x
071239,2010,m
071239,2010,x
071290,2010,m
071290,2010,x
071310,2010,m
071310,2010,x
071320,2010,m
071320,2010,x
071331,2010,m
071331,2010,x
071332,2010,m
071332,2010,x
071333,2010,m
071333,2010,x
071339,2010,m
071339,2010,x
071340,2010,m
071340,2010,x
071350,2010,m
071350,2010,x
071360,2010,m
071360,2010,x
071390,2010,m
071390,2010,x
071410,2010,m
071410,2010,x
071420,2010,m
071420,2010,x
071440,2010,m
071440,2010,x
071490,2010,m
071490,2010,x
080111,2010,m
080111,2010,x
080119,2010,m
080119,2010,x
080121,2010,m
080121,2010,x
080122,2010,m
080122,2010,x
080131,2010,m
080131,2010,x
080132,2010,m
080132,2010,x
080211,2010,m
080211,2010,x
080212,2010,m
080212,2010,x
080221,2010,m
080221,2010,x
080222,2010,m
080222,2010,x
080231,2010,m
080231,2010,x
080232,2010,m
080232,2010,x
080241,2010,m
080241,2010,x
080242,2010,m
080242,2010,x
080251,2010,m
080251,2010,x
080252,2010,m
080252,2010,x
080261,2010,m
080261,2010,x
080262,2010,m
080262,2010,x
