hs_code,year,flow
290511,2010,m
290511,2010,x
290512,2010,m
290512,2010,x
290513,2010,m
290513,2010,x
290514,2010,m
290514,2010,x
290516,2010,m
290516,2010,x
290517,2010,m
290517,2010,x
290519,2010,m
290519,2010,x
290522,2010,m
290522,2010,x
290529,2010,m
290529,2010,x
290531,2010,m
290531,2010,x
290532,2010,m
290532,2010,x
290539,2010,m
290539,2010,x
290541,2010,m
290541,2010,x
290542,2010,m
290542,2010,x
290543,2010,m
290543,2010,x
290544,2010,m
290544,2010,x
290545,2010,m
290545,2010,x
290549,2010,m
290549,2010,x
290551,2010,m
290551,2010,x
290559,2010,m
290559,2010,x
290611,2010,m
290611,2010,x
290612,2010,m
290612,2010,x
290613,2010,m
290613,2010,x
290619,2010,m
290619,2010,x
290621,2010,m
290621,2010,x
290629,2010,m
290629,2010,x
290711,2010,m
290711,2010,x
290712,2010,m
290712,2010,x
290713,2010,m
290713,2010,x
290715,2010,m
290715,2010,x
290719,2010,m
290719,2010,x
290721,2010,m
290721,2010,x
290722,2010,m
290722,2010,x
290723,2010,m
290723,2010,x
290729,2010,m
290729,2010,x
