hs_code,year,flow
284170,2010,m
284170,2010,x
284180,2010,m
284180,2010,x
284190,2010,m
284190,2010,x
284210,2010,m
284210,2010,x
284290,2010,m
284290,2010,x
284310,2010,m
284310,2010,x
284321,2010,m
284321,2010,x
284329,2010,m
284329,2010,x
284330,2010,m
284330,2010,x
284390,2010,m
284390,2010,x
284410,2010,m
284410,2010,x
284420,2010,m
284420,2010,x
284430,2010,m
284430,2010,x
284440,2010,m
284440,2010,x
284450,2010,m
284450,2010,x
284510,2010,m
284510,2010,x
284590,2010,m
284590,2010,x
284610,2010,m
284610,2010,x
284690,2010,m
284690,2010,x
284700,2010,m
284700,2010,x
284800,2010,m
284800,2010,x
284910,2010,m
284910,2010,x
284920,2010,m
284920,2010,x
284990,2010,m
284990,2010,x
285000,2010,m
285000,2010,x
285210,2010,m
285210,2010,x
285290,2010,m
285290,2010,x
285300,2010,m
285300,2010,x
290110,2010,m
290110,2010,x
290121,2010,m
290121,2010,x
290122,2010,m
290122,2010,x
290123,2010,m
290123,2010,x
290124,2010,m
290124,2010,x
290129,2010,m
290129,2010,x
290211,2010,m
290211,2010,x
