hs_code,year,flow
481031,2010,m
481031,2010,x
481032,2010,m
481032,2010,x
481039,2010,m
481039,2010,x
481092,2010,m
481092,2010,x
481099,2010,m
481099,2010,x
481110,2010,m
481110,2010,x
481141,2010,m
481141,2010,x
481149,2010,m
481149,2010,x
481151,2010,m
481151,2010,x
481159,2010,m
481159,2010,x
481160,2010,m
481160,2010,x
481190,2010,m
481190,2010,x
481200,2010,m
481200,2010,x
481310,2010,m
481310,2010,x
481320,2010,m
481320,2010,x
481390,2010,m
481390,2010,x
481420,2010,m
481420,2010,x
481490,2010,m
481490,2010,x
481620,2010,m
481620,2010,x
481690,2010,m
481690,2010,x
481710,2010,m
481710,2010,x
481720,2010,m
481720,2010,x
481730,2010,m
481730,2010,x
481810,2010,m
481810,2010,x
481820,2010,m
481820,2010,x
481830,2010,m
481830,2010,x
481850,2010,m
481850,2010,x
481890,2010,m
481890,2010,x
481910,2010,m
481910,2010,x
481920,2010,m
481920,2010,x
481930,2010,m
481930,2010,x
481940,2010,m
481940,2010,x
481950,2010,m
481950,2010,x
481960,2010,m
481960,2010,x
482010,2010,m
482010,2010,x
