hs_code,year,flow
840390,2010,m
840390,2010,x
840410,2010,m
840410,2010,x
840420,2010,m
840420,2010,x
840490,2010,m
840490,2010,x
840510,2010,m
840510,2010,x
840590,2010,m
840590,2010,x
840610,2010,m
840610,2010,x
840681,2010,m
840681,2010,x
840682,2010,m
840682,2010,x
840690,2010,m
840690,2010,x
840710,2010,m
840710,2010,x
840721,2010,m
840721,2010,x
840729,2010,m
840729,2010,x
840731,2010,m
840731,2010,x
840732,2010,m
840732,2010,x
840733,2010,m
840733,2010,x
840734,2010,m
840734,2010,x
840790,2010,m
840790,2010,x
840810,2010,m
840810,2010,x
840820,2010,m
840820,2010,x
840890,2010,m
840890,2010,x
840910,2010,m
840910,2010,x
840991,2010,m
840991,2010,x
840999,2010,m
840999,2010,x
841011,2010,m
841011,2010,x
841012,2010,m
841012,2010,x
841013,2010,m
841013,2010,x
841090,2010,m
841090,2010,x
841111,2010,m
841111,2010,x
841112,2010,m
841112,2010,x
841121,2010,m
841121,2010,x
841122,2010,m
841122,2010,x
841181,2010,m
841181,2010,x
841182,2010,m
841182,2010,x
841191,2010,m
841191,2010,x
