hs_code,year,flow
690990,2010,m
690990,2010,x
691010,2010,m
691010,2010,x
691090,2010,m
691090,2010,x
691110,2010,m
691110,2010,x
691190,2010,m
691190,2010,x
691200,2010,m
691200,2010,x
691310,2010,m
691310,2010,x
691390,2010,m
691390,2010,x
691410,2010,m
691410,2010,x
691490,2010,m
691490,2010,x
700100,2010,m
700100,2010,x
700210,2010,m
700210,2010,x
700220,2010,m
700220,2010,x
700231,2010,m
700231,2010,x
700232,2010,m
700232,2010,x
700239,2010,m
700239,2010,x
700312,2010,m
700312,2010,x
700319,2010,m
700319,2010,x
700320,2010,m
700320,2010,x
700330,2010,m
700330,2010,x
700420,2010,m
700420,2010,x
700490,2010,m
700490,2010,x
700510,2010,m
700510,2010,x
700521,2010,m
700521,2010,x
700529,2010,m
700529,2010,x
700530,2010,m
700530,2010,x
700600,2010,m
700600,2010,x
700711,2010,m
700711,2010,x
700719,2010,m
700719,2010,x
700721,2010,m
700721,2010,x
700729,2010,m
700729,2010,x
700800,2010,m
700800,2010,x
700910,2010,m
700910,2010,x
700991,2010,m
700991,2010,x
700992,2010,m
700992,2010,x
