hs_code,year,flow
810490,2010,m
810490,2010,x
810520,2010,m
810520,2010,x
810530,2010,m
810530,2010,x
810590,2010,m
810590,2010,x
810600,2010,m
810600,2010,x
810720,2010,m
810720,2010,x
810730,2010,m
810730,2010,x
810790,2010,m
810790,2010,x
810820,2010,m
810820,2010,x
810830,2010,m
810830,2010,x
810890,2010,m
810890,2010,x
810920,2010,m
810920,2010,x
810930,2010,m
810930,2010,x
810990,2010,m
810990,2010,x
811010,2010,m
811010,2010,x
811020,2010,m
811020,2010,x
811090,2010,m
811090,2010,x
811100,2010,m
811100,2010,x
811212,2010,m
811212,2010,x
811213,2010,m
811213,2010,x
811219,2010,m
811219,2010,x
811221,2010,m
811221,2010,x
811222,2010,m
811222,2010,x
811229,2010,m
811229,2010,x
811251,2010,m
811251,2010,x
811252,2010,m
811252,2010,x
811259,2010,m
811259,2010,x
811292,2010,m
811292,2010,x
811299,2010,m
811299,2010,x
811300,2010,m
811300,2010,x
820110,2010,m
820110,2010,x
820130,2010,m
820130,2010,x
820140,2010,m
820140,2010,x
820150,2010,m
820150,2010,x
820160,2010,m
820160,2010,x
