hs_code,year,flow
290219,2010,m
290219,2010,x
290220,2010,m
290220,2010,x
290230,2010,m
290230,2010,x
290241,2010,m
290241,2010,x
290242,2010,m
290242,2010,x
290243,2010,m
290243,2010,x
290244,2010,m
290244,2010,x
290250,2010,m
290250,2010,x
290260,2010,m
290260,2010,x
290270,2010,m
290270,2010,x
290290,2010,m
290290,2010,x
290311,2010,m
290311,2010,x
290312,2010,m
290312,2010,x
290313,2010,m
290313,2010,x
290314,2010,m
290314,2010,x
290315,2010,m
290315,2010,x
290319,2010,m
290319,2010,x
290321,2010,m
290321,2010,x
290322,2010,m
290322,2010,x
290323,2010,m
290323,2010,x
290329,2010,m
290329,2010,x
290331,2010,m
290331,2010,x
290339,2010,m
290339,2010,x
290371,2010,m
290371,2010,x
290376,2010,m
290376,2010,x
290377,2010,m
290377,2010,x
290379,2010,m
290379,2010,x
290381,2010,m
290381,2010,x
290389,2010,m
290389,2010,x
290391,2010,m
290391,2010,x
290392,2010,m
290392,2010,x
290399,2010,m
290399,2010,x
290410,2010,m
290410,2010,x
290420,2010,m
290420,2010,x
290490,2010,m
290490,2010,x
