hs_code,year,flow
850440,2010,m
850440,2010,x
850450,2010,m
850450,2010,x
850490,2010,m
850490,2010,x
850511,2010,m
850511,2010,x
850519,2010,m
850519,2010,x
850520,2010,m
850520,2010,x
850590,2010,m
850590,2010,x
850610,2010,m
850610,2010,x
850630,2010,m
850630,2010,x
850640,2010,m
850640,2010,x
850650,2010,m
850650,2010,x
850660,2010,m
850660,2010,x
850680,2010,m
850680,2010,x
850690,2010,m
850690,2010,x
850710,2010,m
850710,2010,x
850720,2010,m
850720,2010,x
850730,2010,m
850730,2010,x
850740,2010,m
850740,2010,x
850750,2010,m
850750,2010,x
850760,2010,m
850760,2010,x
850780,2010,m
850780,2010,x
850790,2010,m
850790,2010,x
850811,2010,m
850811,2010,x
850819,2010,m
850819,2010,x
850860,2010,m
850860,2010,x
850870,2010,m
850870,2010,x
850940,2010,m
850940,2010,x
850980,2010,m
850980,2010,x
850990,2010,m
850990,2010,x
851010,2010,m
851010,2010,x
851020,2010,m
851020,2010,x
851030,2010,m
851030,2010,x
851090,2010,m
851090,2010,x
851110,2010,m
851110,2010,x
851120,2010,m
851120,2010,x
