hs_code,year,flow
610452,2010,m
610452,2010,x
610453,2010,m
610453,2010,x
610459,2010,m
610459,2010,x
610461,2010,m
610461,2010,x
610462,2010,m
610462,2010,x
610463,2010,m
610463,2010,x
610469,2010,m
610469,2010,x
610510,2010,m
610510,2010,x
610520,2010,m
610520,2010,x
610590,2010,m
610590,2010,x
610610,2010,m
610610,2010,x
610620,2010,m
610620,2010,x
610690,2010,m
610690,2010,x
610711,2010,m
610711,2010,x
610712,2010,m
610712,2010,x
610719,2010,m
610719,2010,x
610721,2010,m
610721,2010,x
610722,2010,m
610722,2010,x
610729,2010,m
610729,2010,x
610791,2010,m
610791,2010,x
610799,2010,m
610799,2010,x
610811,2010,m
610811,2010,x
610819,2010,m
610819,2010,x
610821,2010,m
610821,2010,x
610822,2010,m
610822,2010,x
610829,2010,m
610829,2010,x
610831,2010,m
610831,2010,x
610832,2010,m
610832,2010,x
610839,2010,m
610839,2010,x
610891,2010,m
610891,2010,x
610892,2010,m
610892,2010,x
610899,2010,m
610899,2010,x
610910,2010,m
610910,2010,x
610990,2010,m
610990,2010,x
611011,2010,m
611011,2010,x
