hs_code,year,flow
903033,2010,m
903033,2010,x
903039,2010,m
903039,2010,x
903040,2010,m
903040,2010,x
903082,2010,m
903082,2010,x
903084,2010,m
903084,2010,x
903089,2010,m
903089,2010,x
903090,2010,m
903090,2010,x
903110,2010,m
903110,2010,x
903120,2010,m
903120,2010,x
903141,2010,m
903141,2010,x
903149,2010,m
903149,2010,x
903180,2010,m
903180,2010,x
903190,2010,m
903190,2010,x
903210,2010,m
903210,2010,x
903220,2010,m
903220,2010,x
903281,2010,m
903281,2010,x
903289,2010,m
903289,2010,x
903290,2010,m
903290,2010,x
903300,2010,m
903300,2010,x
910111,2010,m
910111,2010,x
910119,2010,m
910119,2010,x
910121,2010,m
910121,2010,x
910129,2010,m
910129,2010,x
910191,2010,m
910191,2010,x
910199,2010,m
910199,2010,x
910211,2010,m
910211,2010,x
910212,2010,m
910212,2010,x
910219,2010,m
910219,2010,x
910221,2010,m
910221,2010,x
910229,2010,m
910229,2010,x
910291,2010,m
910291,2010,x
910299,2010,m
910299,2010,x
910310,2010,m
910310,2010,x
910390,2010,m
910390,2010,x
910400,2010,m
910400,2010,x
