hs_code,year,flow
530290,2010,m
530290,2010,x
530310,2010,m
530310,2010,x
530390,2010,m
530390,2010,x
530500,2010,m
530500,2010,x
530610,2010,m
530610,2010,x
530620,2010,m
530620,2010,x
530710,2010,m
530710,2010,x
530720,2010,m
530720,2010,x
530810,2010,m
530810,2010,x
530820,2010,m
530820,2010,x
530890,2010,m
530890,2010,x
530911,2010,m
530911,2010,x
530919,2010,m
530919,2010,x
530921,2010,m
530921,2010,x
530929,2010,m
530929,2010,x
531010,2010,m
531010,2010,x
531090,2010,m
531090,2010,x
531100,2010,m
531100,2010,x
540110,2010,m
540110,2010,x
540120,2010,m
540120,2010,x
540211,2010,m
540211,2010,x
540219,2010,m
540219,2010,x
540220,2010,m
540220,2010,x
540231,2010,m
540231,2010,x
540232,2010,m
540232,2010,x
540233,2010,m
540233,2010,x
540234,2010,m
540234,2010,x
540239,2010,m
540239,2010,x
540244,2010,m
540244,2010,x
540245,2010,m
540245,2010,x
540246,2010,m
540246,2010,x
540247,2010,m
540247,2010,x
540248,2010,m
540248,2010,x
540249,2010,m
540249,2010,x
540251,2010,m
540251,2010,x
