hs_code,year,flow
551229,2010,m
551229,2010,x
551291,2010,m
551291,2010,x
551299,2010,m
551299,2010,x
551311,2010,m
551311,2010,x
551312,2010,m
551312,2010,x
551313,2010,m
551313,2010,x
551319,2010,m
551319,2010,x
551321,2010,m
551321,2010,x
551323,2010,m
551323,2010,x
551329,2010,m
551329,2010,x
551331,2010,m
551331,2010,x
551339,2010,m
551339,2010,x
551341,2010,m
551341,2010,x
551349,2010,m
551349,2010,x
551411,2010,m
551411,2010,x
551412,2010,m
551412,2010,x
551419,2010,m
551419,2010,x
551421,2010,m
551421,2010,x
551422,2010,m
551422,2010,x
551423,2010,m
551423,2010,x
551429,2010,m
551429,2010,x
551430,2010,m
551430,2010,x
551441,2010,m
551441,2010,x
551442,2010,m
551442,2010,x
551443,2010,m
551443,2010,x
551449,2010,m
551449,2010,x
551511,2010,m
551511,2010,x
551512,2010,m
551512,2010,x
551513,2010,m
551513,2010,x
551519,2010,m
551519,2010,x
551521,2010,m
551521,2010,x
551522,2010,m
551522,2010,x
551529,2010,m
551529,2010,x
551591,2010,m
551591,2010,x
551599,2010,m
551599,2010,x
