hs_code,year,flow
200819,2010,m
200819,2010,x
200820,2010,m
200820,2010,x
200830,2010,m
200830,2010,x
200840,2010,m
200840,2010,x
200850,2010,m
200850,2010,x
200860,2010,m
200860,2010,x
200870,2010,m
200870,2010,x
200880,2010,m
200880,2010,x
200891,2010,m
200891,2010,x
200897,2010,m
200897,2010,x
200899,2010,m
200899,2010,x
200911,2010,m
200911,2010,x
200912,2010,m
200912,2010,x
200919,2010,m
200919,2010,x
200921,2010,m
200921,2010,x
200929,2010,m
200929,2010,x
200931,2010,m
200931,2010,x
200939,2010,m
200939,2010,x
200941,2010,m
200941,2010,x
200949,2010,m
200949,2010,x
200950,2010,m
200950,2010,x
200961,2010,m
200961,2010,x
200969,2010,m
200969,2010,x
200971,2010,m
200971,2010,x
200979,2010,m
200979,2010,x
200981,2010,m
200981,2010,x
200989,2010,m
200989,2010,x
200990,2010,m
200990,2010,x
210111,2010,m
210111,2010,x
210112,2010,m
210112,2010,x
210120,2010,m
210120,2010,x
210130,2010,m
210130,2010,x
210210,2010,m
210210,2010,x
210220,2010,m
210220,2010,x
210230,2010,m
210230,2010,x
