hs_code,year,flow
722699,2010,m
722699,2010,x
722710,2010,m
722710,2010,x
722720,2010,m
722720,2010,x
722790,2010,m
722790,2010,x
722810,2010,m
722810,2010,x
722820,2010,m
722820,2010,x
722830,2010,m
722830,2010,x
722840,2010,m
722840,2010,x
722850,2010,m
722850,2010,x
722860,2010,m
722860,2010,x
722870,2010,m
722870,2010,x
722880,2010,m
722880,2010,x
722920,2010,m
722920,2010,x
722990,2010,m
722990,2010,x
730110,2010,m
730110,2010,x
730120,2010,m
730120,2010,x
730210,2010,m
730210,2010,x
730230,2010,m
730230,2010,x
730240,2010,m
730240,2010,x
730290,2010,m
730290,2010,x
730300,2010,m
730300,2010,x
730411,2010,m
730411,2010,x
730419,2010,m
730419,2010,x
730422,2010,m
730422,2010,x
730423,2010,m
730423,2010,x
730424,2010,m
730424,2010,x
730429,2010,m
730429,2010,x
730431,2010,m
730431,2010,x
730439,2010,m
730439,2010,x
730441,2010,m
730441,2010,x
730449,2010,m
730449,2010,x
730451,2010,m
730451,2010,x
730459,2010,m
730459,2010,x
730490,2010,m
730490,2010,x
730511,2010,m
730511,2010,x
