hs_code,year,flow
520535,2010,m
520535,2010,x
520541,2010,m
520541,2010,x
520542,2010,m
520542,2010,x
520543,2010,m
520543,2010,x
520544,2010,m
520544,2010,x
520546,2010,m
520546,2010,x
520547,2010,m
520547,2010,x
520548,2010,m
520548,2010,x
520611,2010,m
520611,2010,x
520612,2010,m
520612,2010,x
520613,2010,m
520613,2010,x
520614,2010,m
520614,2010,x
520615,2010,m
520615,2010,x
520621,2010,m
520621,2010,x
520622,2010,m
520622,2010,x
520623,2010,m
520623,2010,x
520624,2010,m
520624,2010,x
520625,2010,m
520625,2010,x
520631,2010,m
520631,2010,x
520632,2010,m
520632,2010,x
520633,2010,m
520633,2010,x
520634,2010,m
520634,2010,x
520635,2010,m
520635,2010,x
520641,2010,m
520641,2010,x
520642,2010,m
520642,2010,x
520643,2010,m
520643,2010,x
520644,2010,m
520644,2010,x
520645,2010,m
520645,2010,x
520710,2010,m
520710,2010,x
520790,2010,m
520790,2010,x
520811,2010,m
520811,2010,x
520812,2010,m
520812,2010,x
520813,2010,m
520813,2010,x
520819,2010,m
520819,2010,x
520821,2010,m
520821,2010,x
