hs_code,year,flow
030454,2010,m
030454,2010,x
030459,2010,m
030459,2010,x
030461,2010,m
030461,2010,x
030462,2010,m
030462,2010,x
030471,2010,m
030471,2010,x
030473,2010,m
030473,2010,x
030474,2010,m
030474,2010,x
030475,2010,m
030475,2010,x
030481,2010,m
030481,2010,x
030482,2010,m
030482,2010,x
030483,2010,m
030483,2010,x
030484,2010,m
030484,2010,x
030485,2010,m
030485,2010,x
030486,2010,m
030486,2010,x
030487,2010,m
030487,2010,x
030489,2010,m
030489,2010,x
030491,2010,m
030491,2010,x
030492,2010,m
030492,2010,x
030493,2010,m
030493,2010,x
030495,2010,m
030495,2010,x
030499,2010,m
030499,2010,x
030510,2010,m
030510,2010,x
030520,2010,m
030520,2010,x
030539,2010,m
030539,2010,x
030541,2010,m
030541,2010,x
030542,2010,m
030542,2010,x
030543,2010,m
030543,2010,x
030544,2010,m
030544,2010,x
030549,2010,m
030549,2010,x
030551,2010,m
030551,2010,x
030559,2010,m
030559,2010,x
030561,2010,m
030561,2010,x
030562,2010,m
030562,2010,x
030563,2010,m
030563,2010,x
030569,2010,m
030569,2010,x
