hs_code,year,flow
294140,2010,m
294140,2010,x
294150,2010,m
294150,2010,x
294190,2010,m
294190,2010,x
294200,2010,m
294200,2010,x
300120,2010,m
300120,2010,x
300190,2010,m
300190,2010,x
300210,2010,m
300210,2010,x
300220,2010,m
300220,2010,x
300230,2010,m
300230,2010,x
300290,2010,m
300290,2010,x
300310,2010,m
300310,2010,x
300320,2010,m
300320,2010,x
300331,2010,m
300331,2010,x
300339,2010,m
300339,2010,x
300340,2010,m
300340,2010,x
300390,2010,m
300390,2010,x
300410,2010,m
300410,2010,x
300420,2010,m
300420,2010,x
300431,2010,m
300431,2010,x
300432,2010,m
300432,2010,x
300439,2010,m
300439,2010,x
300440,2010,m
300440,2010,x
300450,2010,m
300450,2010,x
300490,2010,m
300490,2010,x
300510,2010,m
300510,2010,x
300590,2010,m
300590,2010,x
300610,2010,m
300610,2010,x
300620,2010,m
300620,2010,x
300630,2010,m
300630,2010,x
300640,2010,m
300640,2010,x
300650,2010,m
300650,2010,x
300660,2010,m
300660,2010,x
300670,2010,m
300670,2010,x
300691,2010,m
300691,2010,x
300692,2010,m
300692,2010,x
