hs_code,year,flow
482020,2010,m
482020,2010,x
482030,2010,m
482030,2010,x
482040,2010,m
482040,2010,x
482050,2010,m
482050,2010,x
482090,2010,m
482090,2010,x
482110,2010,m
482110,2010,x
482190,2010,m
482190,2010,x
482210,2010,m
482210,2010,x
482290,2010,m
482290,2010,x
482320,2010,m
482320,2010,x
482340,2010,m
482340,2010,x
482361,2010,m
482361,2010,x
482369,2010,m
482369,2010,x
482370,2010,m
482370,2010,x
482390,2010,m
482390,2010,x
490110,2010,m
490110,2010,x
490191,2010,m
490191,2010,x
490199,2010,m
490199,2010,x
490210,2010,m
490210,2010,x
490290,2010,m
490290,2010,x
490300,2010,m
490300,2010,x
490400,2010,m
490400,2010,x
490510,2010,m
490510,2010,x
490591,2010,m
490591,2010,x
490599,2010,m
490599,2010,x
490600,2010,m
490600,2010,x
490700,2010,m
490700,2010,x
490810,2010,m
490810,2010,x
490890,2010,m
490890,2010,x
490900,2010,m
490900,2010,x
491000,2010,m
491000,2010,x
491110,2010,m
491110,2010,x
491191,2010,m
491191,2010,x
491199,2010,m
491199,2010,x
500100,2010,m
500100,2010,x
