hs_code,year,flow
160100,2010,m
160100,2010,x
160210,2010,m
160210,2010,x
160220,2010,m
160220,2010,x
160231,2010,m
160231,2010,x
160232,2010,m
160232,2010,x
160239,2010,m
160239,2010,x
160241,2010,m
160241,2010,x
160242,2010,m
160242,2010,x
160249,2010,m
160249,2010,x
160250,2010,m
160250,2010,x
160290,2010,m
160290,2010,x
160300,2010,m
160300,2010,x
160411,2010,m
160411,2010,x
160412,2010,m
160412,2010,x
160413,2010,m
160413,2010,x
160414,2010,m
160414,2010,x
160415,2010,m
160415,2010,x
160416,2010,m
160416,2010,x
160417,2010,m
160417,2010,x
160419,2010,m
160419,2010,x
160420,2010,m
160420,2010,x
160431,2010,m
160431,2010,x
160432,2010,m
160432,2010,x
160510,2010,m
160510,2010,x
160521,2010,m
160521,2010,x
160529,2010,m
160529,2010,x
160530,2010,m
160530,2010,x
160540,2010,m
160540,2010,x
160553,2010,m
160553,2010,x
160554,2010,m
160554,2010,x
160555,2010,m
160555,2010,x
160557,2010,m
160557,2010,x
160558,2010,m
160558,2010,x
160559,2010,m
160559,2010,x
160569,2010,m
160569,2010,x
