hs_code,year,flow
940599,2010,m
940599,2010,x
940600,2010,m
940600,2010,x
950300,2010,m
950300,2010,x
950420,2010,m
950420,2010,x
950430,2010,m
950430,2010,x
950440,2010,m
950440,2010,x
950450,2010,m
950450,2010,x
950490,2010,m
950490,2010,x
950510,2010,m
950510,2010,x
950590,2010,m
950590,2010,x
950611,2010,m
950611,2010,x
950612,2010,m
950612,2010,x
950619,2010,m
950619,2010,x
950621,2010,m
950621,2010,x
950629,2010,m
950629,2010,x
950631,2010,m
950631,2010,x
950632,2010,m
950632,2010,x
950639,2010,m
950639,2010,x
950640,2010,m
950640,2010,x
950651,2010,m
950651,2010,x
950659,2010,m
950659,2010,x
950661,2010,m
950661,2010,x
950662,2010,m
950662,2010,x
950669,2010,m
950669,2010,x
950670,2010,m
950670,2010,x
950691,2010,m
950691,2010,x
950699,2010,m
950699,2010,x
950710,2010,m
950710,2010,x
950720,2010,m
950720,2010,x
950730,2010,m
950730,2010,x
950790,2010,m
950790,2010,x
950810,2010,m
950810,2010,x
950890,2010,m
950890,2010,x
960110,2010,m
960110,2010,x
960190,2010,m
960190,2010,x
