hs_code,year,flow
960200,2010,m
960200,2010,x
960310,2010,m
960310,2010,x
960321,2010,m
960321,2010,x
960329,2010,m
960329,2010,x
960330,2010,m
960330,2010,x
960340,2010,m
960340,2010,x
960350,2010,m
960350,2010,x
960390,2010,m
960390,2010,x
960400,2010,m
960400,2010,x
960500,2010,m
960500,2010,x
960610,2010,m
960610,2010,x
960621,2010,m
960621,2010,x
960622,2010,m
960622,2010,x
960629,2010,m
960629,2010,x
960630,2010,m
960630,2010,x
960711,2010,m
960711,2010,x
960719,2010,m
960719,2010,x
960720,2010,m
960720,2010,x
960810,2010,m
960810,2010,x
960820,2010,m
960820,2010,x
960830,2010,m
960830,2010,x
960840,2010,m
960840,2010,x
960850,2010,m
960850,2010,x
960860,2010,m
960860,2010,x
960891,2010,m
960891,2010,x
960899,2010,m
960899,2010,x
960910,2010,m
960910,2010,x
960920,2010,m
960920,2010,x
960990,2010,m
960990,2010,x
961000,2010,m
961000,2010,x
961100,2010,m
961100,2010,x
961210,2010,m
961210,2010,x
961220,2010,m
961220,2010,x
961310,2010,m
961310,2010,x
961320,2010,m
961320,2010,x
