hs_code,year,flow
848630,2010,m
848630,2010,x
848640,2010,m
848640,2010,x
848690,2010,m
848690,2010,x
848710,2010,m
848710,2010,x
848790,2010,m
848790,2010,x
850110,2010,m
850110,2010,x
850120,2010,m
850120,2010,x
850131,2010,m
850131,2010,x
850132,2010,m
850132,2010,x
850133,2010,m
850133,2010,x
850134,2010,m
850134,2010,x
850140,2010,m
850140,2010,x
850151,2010,m
850151,2010,x
850152,2010,m
850152,2010,x
850153,2010,m
850153,2010,x
850161,2010,m
850161,2010,x
850162,2010,m
850162,2010,x
850163,2010,m
850163,2010,x
850164,2010,m
850164,2010,x
850211,2010,m
850211,2010,x
850212,2010,m
850212,2010,x
850213,2010,m
850213,2010,x
850220,2010,m
850220,2010,x
850231,2010,m
850231,2010,x
850239,2010,m
850239,2010,x
850240,2010,m
850240,2010,x
850300,2010,m
850300,2010,x
850410,2010,m
850410,2010,x
850421,2010,m
850421,2010,x
850422,2010,m
850422,2010,x
850423,2010,m
850423,2010,x
850431,2010,m
850431,2010,x
850432,2010,m
850432,2010,x
850433,2010,m
850433,2010,x
850434,2010,m
850434,2010,x
