hs_code,year,flow
640320,2010,m
640320,2010,x
640340,2010,m
640340,2010,x
640351,2010,m
640351,2010,x
640359,2010,m
640359,2010,x
640391,2010,m
640391,2010,x
640399,2010,m
640399,2010,x
640411,2010,m
640411,2010,x
640419,2010,m
640419,2010,x
640420,2010,m
640420,2010,x
640510,2010,m
640510,2010,x
640520,2010,m
640520,2010,x
640590,2010,m
640590,2010,x
640610,2010,m
640610,2010,x
640620,2010,m
640620,2010,x
640690,2010,m
640690,2010,x
650100,2010,m
650100,2010,x
650200,2010,m
650200,2010,x
650400,2010,m
650400,2010,x
650500,2010,m
650500,2010,x
650610,2010,m
650610,2010,x
650691,2010,m
650691,2010,x
650699,2010,m
650699,2010,x
650700,2010,m
650700,2010,x
660110,2010,m
660110,2010,x
660191,2010,m
660191,2010,x
660199,2010,m
660199,2010,x
660200,2010,m
660200,2010,x
660320,2010,m
660320,2010,x
660390,2010,m
660390,2010,x
670100,2010,m
670100,2010,x
670210,2010,m
670210,2010,x
670290,2010,m
670290,2010,x
670300,2010,m
670300,2010,x
670411,2010,m
670411,2010,x
670419,2010,m
670419,2010,x
