hs_code,year,flow
560394,2010,m
560394,2010,x
560410,2010,m
560410,2010,x
560490,2010,m
560490,2010,x
560500,2010,m
560500,2010,x
560600,2010,m
560600,2010,x
560721,2010,m
560721,2010,x
560729,2010,m
560729,2010,x
560741,2010,m
560741,2010,x
560749,2010,m
560749,2010,x
560750,2010,m
560750,2010,x
560790,2010,m
560790,2010,x
560811,2010,m
560811,2010,x
560819,2010,m
560819,2010,x
560890,2010,m
560890,2010,x
560900,2010,m
560900,2010,x
570110,2010,m
570110,2010,x
570190,2010,m
570190,2010,x
570210,2010,m
570210,2010,x
570220,2010,m
570220,2010,x
570231,2010,m
570231,2010,x
570232,2010,m
570232,2010,x
570239,2010,m
570239,2010,x
570241,2010,m
570241,2010,x
570242,2010,m
570242,2010,x
570249,2010,m
570249,2010,x
570250,2010,m
570250,2010,x
570291,2010,m
570291,2010,x
570292,2010,m
570292,2010,x
570299,2010,m
570299,2010,x
570310,2010,m
570310,2010,x
570320,2010,m
570320,2010,x
570330,2010,m
570330,2010,x
570390,2010,m
570390,2010,x
570410,2010,m
570410,2010,x
570490,2010,m
570490,2010,x
