hs_code,year,flow
080280,2010,m
080280,2010,x
080290,2010,m
080290,2010,x
080310,2010,m
080310,2010,x
080390,2010,m
080390,2010,x
080410,2010,m
080410,2010,x
080420,2010,m
080420,2010,x
080430,2010,m
080430,2010,x
080440,2010,m
080440,2010,x
080450,2010,m
080450,2010,x
080510,2010,m
080510,2010,x
080520,2010,m
080520,2010,x
080540,2010,m
080540,2010,x
080550,2010,m
080550,2010,x
080590,2010,m
080590,2010,x
080610,2010,m
080610,2010,x
080620,2010,m
080620,2010,x
080711,2010,m
080711,2010,x
080719,2010,m
080719,2010,x
080720,2010,m
080720,2010,x
080810,2010,m
080810,2010,x
080830,2010,m
080830,2010,x
080840,2010,m
080840,2010,x
080910,2010,m
080910,2010,x
080921,2010,m
080921,2010,x
080929,2010,m
080929,2010,x
080930,2010,m
080930,2010,x
080940,2010,m
080940,2010,x
081010,2010,m
081010,2010,x
081020,2010,m
081020,2010,x
081030,2010,m
081030,2010,x
081040,2010,m
081040,2010,x
081050,2010,m
081050,2010,x
081060,2010,m
081060,2010,x
081070,2010,m
081070,2010,x
081090,2010,m
081090,2010,x
