hs_code,year,flow
843621,2010,m
843621,2010,x
843629,2010,m
843629,2010,x
843680,2010,m
843680,2010,x
843691,2010,m
843691,2010,x
843699,2010,m
843699,2010,x
843710,2010,m
843710,2010,x
843780,2010,m
843780,2010,x
843790,2010,m
843790,2010,x
843810,2010,m
843810,2010,x
843820,2010,m
843820,2010,x
843830,2010,m
843830,2010,x
843840,2010,m
843840,2010,x
843850,2010,m
843850,2010,x
843860,2010,m
843860,2010,x
843880,2010,m
843880,2010,x
843890,2010,m
843890,2010,x
843910,2010,m
843910,2010,x
843920,2010,m
843920,2010,x
843930,2010,m
843930,2010,x
843991,2010,m
843991,2010,x
843999,2010,m
843999,2010,x
844010,2010,m
844010,2010,x
844090,2010,m
844090,2010,x
844110,2010,m
844110,2010,x
844120,2010,m
844120,2010,x
844130,2010,m
844130,2010,x
844140,2010,m
844140,2010,x
844180,2010,m
844180,2010,x
844190,2010,m
844190,2010,x
844230,2010,m
844230,2010,x
844240,2010,m
844240,2010,x
844250,2010,m
844250,2010,x
844311,2010,m
844311,2010,x
844312,2010,m
844312,2010,x
844313,2010,m
844313,2010,x
