hs_code,year,flow
853222,2010,m
853222,2010,x
853223,2010,m
853223,2010,x
853224,2010,m
853224,2010,x
853225,2010,m
853225,2010,x
853229,2010,m
853229,2010,x
853230,2010,m
853230,2010,x
853290,2010,m
853290,2010,x
853310,2010,m
853310,2010,x
853321,2010,m
853321,2010,x
853329,2010,m
853329,2010,x
853331,2010,m
853331,2010,x
853339,2010,m
853339,2010,x
853340,2010,m
853340,2010,x
853390,2010,m
853390,2010,x
853400,2010,m
853400,2010,x
853510,2010,m
853510,2010,x
853521,2010,m
853521,2010,x
853529,2010,m
853529,2010,x
853530,2010,m
853530,2010,x
853540,2010,m
853540,2010,x
853590,2010,m
853590,2010,x
853610,2010,m
853610,2010,x
853620,2010,m
853620,2010,x
853630,2010,m
853630,2010,x
853641,2010,m
853641,2010,x
853649,2010,m
853649,2010,x
853650,2010,m
853650,2010,x
853661,2010,m
853661,2010,x
853669,2010,m
853669,2010,x
853670,2010,m
853670,2010,x
853690,2010,m
853690,2010,x
853710,2010,m
853710,2010,x
853720,2010,m
853720,2010,x
853810,2010,m
853810,2010,x
853890,2010,m
853890,2010,x
