hs_code,year,flow
842611,2010,m
842611,2010,x
842612,2010,m
842612,2010,x
842619,2010,m
842619,2010,x
842620,2010,m
842620,2010,x
842630,2010,m
842630,2010,x
842641,2010,m
842641,2010,x
842649,2010,m
842649,2010,x
842691,2010,m
842691,2010,x
842699,2010,m
842699,2010,x
842710,2010,m
842710,2010,x
842720,2010,m
842720,2010,x
842790,2010,m
842790,2010,x
842810,2010,m
842810,2010,x
842820,2010,m
842820,2010,x
842831,2010,m
842831,2010,x
842832,2010,m
842832,2010,x
842833,2010,m
842833,2010,x
842839,2010,m
842839,2010,x
842840,2010,m
842840,2010,x
842860,2010,m
842860,2010,x
842890,2010,m
842890,2010,x
842911,2010,m
842911,2010,x
842919,2010,m
842919,2010,x
842920,2010,m
842920,2010,x
842930,2010,m
842930,2010,x
842940,2010,m
842940,2010,x
842951,2010,m
842951,2010,x
842952,2010,m
842952,2010,x
842959,2010,m
842959,2010,x
843010,2010,m
843010,2010,x
843020,2010,m
843020,2010,x
843031,2010,m
843031,2010,x
843039,2010,m
843039,2010,x
843041,2010,m
843041,2010,x
843049,2010,m
843049,2010,x
