hs_code,year,flow
730512,2010,m
730512,2010,x
730519,2010,m
730519,2010,x
730520,2010,m
730520,2010,x
730531,2010,m
730531,2010,x
730539,2010,m
730539,2010,x
730590,2010,m
730590,2010,x
730611,2010,m
730611,2010,x
730619,2010,m
730619,2010,x
730621,2010,m
730621,2010,x
730629,2010,m
730629,2010,x
730630,2010,m
730630,2010,x
730640,2010,m
730640,2010,x
730650,2010,m
730650,2010,x
730661,2010,m
730661,2010,x
730669,2010,m
730669,2010,x
730690,2010,m
730690,2010,x
730711,2010,m
730711,2010,x
730719,2010,m
730719,2010,x
730721,2010,m
730721,2010,x
730722,2010,m
730722,2010,x
730723,2010,m
730723,2010,x
730729,2010,m
730729,2010,x
730791,2010,m
730791,2010,x
730792,2010,m
730792,2010,x
730793,2010,m
730793,2010,x
730799,2010,m
730799,2010,x
730810,2010,m
730810,2010,x
730820,2010,m
730820,2010,x
730830,2010,m
730830,2010,x
730840,2010,m
730840,2010,x
730890,2010,m
730890,2010,x
730900,2010,m
730900,2010,x
731010,2010,m
731010,2010,x
731021,2010,m
731021,2010,x
731029,2010,m
731029,2010,x
