[2025-07-25 15:23:37] INFO      - Valid country filter: 4650 (90.41%)
[2025-07-25 15:23:37] INFO      - Valid trade value filter: 551 (10.71%)
[2025-07-25 15:23:37] INFO      - Valid kg-based UV rows: 536 (10.42%)
[2025-07-25 15:23:37] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 15:23:37] INFO     ✅ Finished cleaning: HS 391510, Year 2010, Flow M
[2025-07-25 15:25:17] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_391510_2010.csv
[2025-07-25 15:25:17] INFO     🧹 Cleaning Summary:
[2025-07-25 15:25:17] INFO      - Initial rows: 5143
[2025-07-25 15:25:17] INFO      - Valid country filter: 4650 (90.41%)
[2025-07-25 15:25:17] INFO      - Valid trade value filter: 551 (10.71%)
[2025-07-25 15:25:17] INFO      - Valid kg-based UV rows: 536 (10.42%)
[2025-07-25 15:25:17] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 15:25:17] INFO     ✅ Finished cleaning: HS 391510, Year 2010, Flow M
[2025-07-25 16:36:25] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_010129_2010.csv
[2025-07-25 16:36:25] INFO     🧹 Cleaning Summary:
[2025-07-25 16:36:25] INFO      - Initial rows: 113
[2025-07-25 16:36:25] INFO      - Valid country filter: 113 (100.00%)
[2025-07-25 16:36:25] INFO      - Valid trade value filter: 0 (0.00%)
[2025-07-25 16:36:25] INFO      - Valid kg-based UV rows: 0 (0.00%)
[2025-07-25 16:36:25] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 16:36:25] INFO     ✅ Finished cleaning: HS 010129, Year 2010, Flow M
[2025-07-25 16:44:45] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_010129_2010.csv
[2025-07-25 16:44:45] INFO     🧹 Cleaning Summary:
[2025-07-25 16:44:45] INFO      - Initial rows: 113
[2025-07-25 16:44:45] INFO      - Valid country filter: 113 (100.00%)
[2025-07-25 16:44:45] INFO      - Valid trade value filter: 0 (0.00%)
[2025-07-25 16:44:45] INFO      - Valid kg-based UV rows: 0 (0.00%)
[2025-07-25 16:44:45] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 16:44:45] INFO     ✅ Finished cleaning: HS 010129, Year 2010, Flow M
[2025-07-25 17:22:38] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_010129_2010.csv
[2025-07-25 17:22:38] INFO     🧹 Cleaning Summary:
[2025-07-25 17:22:38] INFO      - Initial rows: 113
[2025-07-25 17:22:38] INFO      - Valid country filter: 113 (100.00%)
[2025-07-25 17:22:38] INFO      - Valid trade value filter: 0 (0.00%)
[2025-07-25 17:22:38] INFO      - Valid kg-based UV rows: 0 (0.00%)
[2025-07-25 17:22:38] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 17:22:38] INFO     ✅ Finished cleaning: HS 010129, Year 2010, Flow M
[2025-07-25 17:25:26] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_010129_2010.csv
[2025-07-25 17:25:26] INFO     🧹 Cleaning Summary:
[2025-07-25 17:25:26] INFO      - Initial rows: 113
[2025-07-25 17:25:26] INFO      - Valid country filter: 113 (100.00%)
[2025-07-25 17:25:26] INFO      - Valid trade value filter: 0 (0.00%)
[2025-07-25 17:25:26] INFO      - Valid kg-based UV rows: 0 (0.00%)
[2025-07-25 17:25:26] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 17:25:26] INFO     ✅ Finished cleaning: HS 010129, Year 2010, Flow M
[2025-07-25 17:27:47] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_010129_2010.csv
[2025-07-25 17:27:47] INFO     🧹 Cleaning Summary:
[2025-07-25 17:27:47] INFO      - Initial rows: 113
[2025-07-25 17:27:47] INFO      - Valid country filter: 113 (100.00%)
[2025-07-25 17:27:47] INFO      - Valid trade value filter: 0 (0.00%)
[2025-07-25 17:27:47] INFO      - Valid kg-based UV rows: 0 (0.00%)
[2025-07-25 17:27:47] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 17:27:47] INFO     ✅ Finished cleaning: HS 010129, Year 2010, Flow M
[2025-07-25 17:27:51] WARNING  ⚠️ No valid UV records available for 010129-2010-m — skipping outlier detection.
[2025-07-25 17:36:06] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_391590_2010.csv
